iter	Logloss
0	0.6914509119
1	0.689976278
2	0.6888798428
3	0.6876081823
4	0.686394297
5	0.6852480552
6	0.683274361
7	0.6819177846
8	0.6809755337
9	0.6801153269
10	0.6784864168
11	0.6775046026
12	0.6757166619
13	0.6746182876
14	0.6732465445
15	0.672047705
16	0.670933004
17	0.6696867301
18	0.6687249313
19	0.6675690135
20	0.6668314819
21	0.6659924257
22	0.6649109791
23	0.6640061485
24	0.6633068039
25	0.6624899128
26	0.6614485221
27	0.6608885376
28	0.6598085305
29	0.6586570695
30	0.6580316301
31	0.657014658
32	0.6562927365
33	0.6551737456
34	0.654169506
35	0.6534014497
36	0.6525364541
37	0.6516723987
38	0.651189042
39	0.6504406181
40	0.6498726546
41	0.6490576794
42	0.6477547963
43	0.6469788615
44	0.64656573
45	0.6459215822
46	0.6452077985
47	0.6445163851
48	0.6435772929
49	0.6427690601
50	0.6418874078
51	0.6410678539
52	0.6401593849
53	0.6397066905
54	0.63907661
55	0.6386076785
56	0.6377288182
57	0.6366773962
58	0.6357615121
59	0.6350003889
60	0.6342226038
61	0.6334577515
62	0.6330390116
63	0.6324570129
64	0.6319642539
65	0.6309657481
66	0.630504896
67	0.6294049366
68	0.6287194371
69	0.6282190981
70	0.6276565221
71	0.6272067565
72	0.6269357075
73	0.6263440136
74	0.6257462051
75	0.6253902564
76	0.6248178069
77	0.6242476911
78	0.6236740602
79	0.6229931332
80	0.6225979682
81	0.6220461596
82	0.6215182978
83	0.6207816549
84	0.6199276621
85	0.6194718577
86	0.6189302765
87	0.6183087718
88	0.6176559589
89	0.6170775094
90	0.616451404
91	0.6156046864
92	0.6151884717
93	0.6143822697
94	0.6137832322
95	0.6132315822
96	0.612869376
97	0.612518453
98	0.6118108135
99	0.6112469907
100	0.6107418598
101	0.6102667192
102	0.6099541538
103	0.6095827471
104	0.6089984147
105	0.6082594132
106	0.6077678947
107	0.6072579769
108	0.6067384405
109	0.6061609187
110	0.6056260319
111	0.6044622299
112	0.6039846394
113	0.6034777262
114	0.6029110487
115	0.6020800104
116	0.6016254646
117	0.6012301951
118	0.6006822557
119	0.600246289
120	0.5998437215
121	0.5990331031
122	0.5984275075
123	0.5977866837
124	0.5970095871
125	0.5965170377
126	0.5955827943
127	0.5951664802
128	0.5945990529
129	0.5940312271
130	0.5934241901
131	0.5929964442
132	0.5924224238
133	0.5916741238
134	0.5913664139
135	0.5909754419
136	0.5906195759
137	0.5901719443
138	0.5896915295
139	0.5892765769
140	0.5887868493
141	0.5884127835
142	0.587844117
143	0.5873001511
144	0.5867686463
145	0.5863463586
146	0.5857523599
147	0.5853585177
148	0.5846956605
149	0.5839486435
150	0.5835957546
151	0.5831027799
152	0.5824553116
153	0.5820960498
154	0.5815506771
155	0.5812602666
156	0.5807171808
157	0.5798321701
158	0.5792094345
159	0.5784816203
160	0.5780296142
161	0.5775980922
162	0.5770156024
163	0.5765890867
164	0.5762262716
165	0.575912361
166	0.5754033745
167	0.5747885529
168	0.5745400108
169	0.5741235867
170	0.5737267394
171	0.57317377
172	0.572570512
173	0.57216056
174	0.5716601208
175	0.5712594685
176	0.5710504268
177	0.5704755292
178	0.5702063411
179	0.5696769609
180	0.5688896515
181	0.5682596605
182	0.5680591061
183	0.5674747414
184	0.5671230784
185	0.5667832773
186	0.5664742104
187	0.5660097867
188	0.5657169953
189	0.5651839571
190	0.5647682784
191	0.5642294885
192	0.5635367308
193	0.5631046424
194	0.5625590176
195	0.5622738476
196	0.5617822439
197	0.5611252451
198	0.5607409184
199	0.5604853718
200	0.5601022515
201	0.5595776089
202	0.5592650014
203	0.5589533553
204	0.5585819256
205	0.5581737221
206	0.5578272108
207	0.5570814834
208	0.5564969888
209	0.5559945872
210	0.5555837831
211	0.5550891922
212	0.5544096068
213	0.5538559706
214	0.5535737071
215	0.5533145323
216	0.5529245266
217	0.552649199
218	0.55223581
219	0.5517338014
220	0.5512182319
221	0.5508471776
222	0.5503806108
223	0.5498637297
224	0.5494690373
225	0.5488639182
226	0.5485108486
227	0.5478667145
228	0.5475260074
229	0.5474041181
230	0.5469343768
231	0.5463969726
232	0.5459376355
233	0.5455607944
234	0.545295136
235	0.5448281042
236	0.5442310214
237	0.5436586936
238	0.5432066032
239	0.5427032415
240	0.5421567245
241	0.54165717
242	0.5411094258
243	0.5407457069
244	0.5403922962
245	0.5401076402
246	0.539724954
247	0.5394318674
248	0.538816857
249	0.5384721377
250	0.5382194902
251	0.5380579146
252	0.537613747
253	0.5372417375
254	0.5367021904
255	0.5361902502
256	0.5358023935
257	0.5355909895
258	0.5347493163
259	0.5342986518
260	0.5336793471
261	0.5330187531
262	0.5323062296
263	0.5316431506
264	0.5311874165
265	0.5306118348
266	0.5301461298
267	0.529264888
268	0.5287675061
269	0.5283448773
270	0.5280515969
271	0.5274792977
272	0.5270680353
273	0.5265109138
274	0.5261641634
275	0.5259142046
276	0.5254628089
277	0.5249210584
278	0.5242022613
279	0.5238845019
280	0.5232700257
281	0.5229549641
282	0.5225918981
283	0.5222944477
284	0.5219293176
285	0.5214491906
286	0.5211743883
287	0.5206699844
288	0.5202023541
289	0.5196324417
290	0.5191894655
291	0.5186398124
292	0.5183456621
293	0.5178800452
294	0.5176515128
295	0.5171346896
296	0.5167443213
297	0.5162892754
298	0.5156815754
299	0.5152069051
